School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC,Yyear
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
PortageHighSchool,6853,147,211,5,12,351,18,21,324,253,110,,283,155,208,218,41,74,***,***,2014
PrairieHeightsSrHighSchool,3690,25,23,2,***,***,***,***,47,37,13,27,43,15,35,46,***,***,--,***,2014
PrincetonCommunityHighSchool,2249,51,44,8,4,99,***,***,73,38,65,46,80,21,82,98,***,--,***,***,2014
ProvidenceCristoReyHighSchool,C623,***,***,--,--,14,--,--,14,***,***,--,***,***,***,***,10,***,--,--,2014
RNelsonSniderHighSchool,0102,137,117,8,21,241,55,47,160,99,163,,183,105,157,177,57,***,***,10,2014
RandolphSouthernJrSrHighSch,7121,11,15,1,***,***,***,***,18,16,11,11,20,5,22,***,--,--,--,***,2014
ReitzMemorialHighSchool,D535,117,***,***,***,***,61,25,96,107,75,,***,12,170,169,***,--,***,***,2014
RensselaerCentralHighSchool,3201,***,33,***,***,***,***,***,49,59,9,28,56,15,53,63,--,***,--,***,2014
RichmondAcademy,D860,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
RichmondHighSchool,8993,81,108,21,9,201,39,24,147,139,71,93,124,114,96,151,27,***,***,22,2014
RileyHighSchool,7513,35,106,11,13,139,***,***,123,81,71,60,103,79,73,75,39,27,***,***,2014
RiseUpAcademyatEggleston,7534,--,***,***,***,***,--,--,6,--,6,--,6,5,1,3,3,***,--,***,2014
RisingSunHighSchool,6513,14,18,--,***,***,--,***,***,26,6,20,***,8,24,***,--,--,--,***,2014
RiverForestHighSchool,3791,***,18,***,***,***,***,***,18,***,***,11,20,21,9,15,***,14,--,***,2014
RivertonParkeJrSrHighSchool,6627,***,22,***,--,48,***,***,45,41,7,17,28,17,31,47,--,***,--,***,2014
RivetMiddleHighSchool,B560,25,***,***,***,***,--,17,20,19,18,17,***,***,***,34,--,--,***,***,2014
RochesterCommunityHighSchool,2173,33,23,1,1,56,--,9,48,47,10,38,39,20,37,55,--,***,--,***,2014
RockCreekCommunityAcademy,0771,6,4,--,***,***,--,--,10,***,***,8,***,***,***,7,--,***,--,***,2014
RockvilleJrSrHighSchool,6637,***,20,***,***,***,***,***,24,26,16,22,27,19,23,39,--,***,--,***,2014
RoncalliHighSchool,C320,144,***,***,***,***,97,59,72,153,75,,209,23,205,215,***,***,***,***,2014
RossvilleMiddleSeniorHighSchool,1021,14,22,1,***,***,***,***,15,13,24,24,***,6,31,37,--,--,--,--,2014
RushvilleConsolidatedHighSch,7285,55,48,13,***,***,***,***,92,95,21,70,88,23,93,107,***,***,***,***,2014
SaintJosephHighSchool,D225,***,97,***,--,152,42,12,98,9,143,,***,7,145,126,***,11,7,***,2014
SalemHighSchool,8857,29,47,4,3,77,***,***,70,65,15,44,56,23,57,79,***,--,--,***,2014
ScecinaMemorialSchool,C710,38,***,***,***,***,19,20,27,***,***,36,53,18,48,52,***,***,***,***,2014
ScottsburgSeniorHighSchool,7641,55,30,1,2,84,***,***,52,75,11,53,72,18,68,79,--,***,***,***,2014
SeegerMemorialJrSrHS,8737,18,30,4,***,***,***,***,27,41,11,20,44,14,38,51,***,***,--,--,2014
SetonCatholicHighSchool,D842,***,***,--,***,***,***,***,***,***,***,***,***,***,***,***,--,--,--,***,2014
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
SeymourSeniorHighSchool,3133,80,56,11,3,144,33,22,92,135,12,80,123,26,121,131,***,13,***,***,2014
ShakamakJrSrHighSchool,2445,***,11,***,***,***,***,***,24,28,5,***,18,14,19,31,--,***,--,***,2014
ShaweMemorialHighSchool,B505,***,8,***,***,***,***,***,8,***,***,9,***,***,***,14,***,--,--,***,2014
ShelbyvilleSrHighSch,7717,75,55,7,2,135,22,21,94,100,37,75,117,47,90,119,***,12,***,***,2014
ShenandoahHighSchool,2817,***,40,***,***,***,13,13,48,53,21,44,54,18,56,71,--,***,***,***,2014
SheridanHighSchool,2463,34,19,1,***,***,***,***,35,34,20,34,41,11,43,52,***,***,--,***,2014
ShoalsCommJrSrHighSch,5985,***,17,***,--,28,--,--,28,17,11,***,17,13,15,***,--,--,--,***,2014
ShortridgeHighSchool,5485,***,23,***,***,***,***,20,***,10,24,13,18,23,11,9,20,2,***,***,2014
SignatureSchoolInc,8295,***,***,--,--,75,57,***,***,***,***,72,***,***,***,54,***,***,16,***,2014
SilverCreekHighSchool,0777,61,51,8,3,117,***,***,95,108,12,72,110,19,101,110,***,5,***,***,2014
SouthAdamsHighSchool,0023,20,28,1,***,***,***,***,39,40,9,35,42,10,39,43,***,***,***,***,2014
SouthCentralJrSrHighSchool,4737,19,14,2,***,***,***,***,24,26,9,22,***,5,30,32,--,***,--,***,2014
SouthCentralJrSrHighSchool,2670,***,19,***,***,***,--,***,***,22,4,***,***,7,19,26,--,--,--,--,2014
SouthDearbornHighSchool,1179,45,48,13,2,104,***,***,81,84,22,55,87,30,76,101,--,***,***,***,2014
SouthDecaturJrSrHighSchool,1263,20,21,2,4,39,***,***,17,36,7,24,29,12,31,39,***,***,--,***,2014
SouthKnoxMiddleHighSchool,3490,26,16,15,***,***,***,***,42,42,15,***,46,15,42,***,--,--,--,***,2014
SouthNewtonSeniorHighSch,6417,***,18,***,***,***,***,***,21,21,10,16,***,15,16,26,--,***,--,***,2014
SouthPutnamHighSchool,7071,18,39,5,--,62,14,9,39,29,33,30,47,18,44,57,--,***,--,***,2014
SouthRipleyHighSchool,7182,25,15,4,***,***,--,***,***,42,2,19,25,11,33,***,--,***,--,--,2014
SouthSideHighSchool,0105,56,108,9,20,153,13,25,135,91,82,62,113,114,59,57,64,31,11,10,2014
SouthSpencerHighSchool,7795,35,39,5,***,***,17,20,42,32,47,40,62,27,52,74,***,***,--,***,2014
SouthVermillionHighSchool,8432,56,27,2,2,83,22,37,26,66,19,50,64,21,64,82,--,***,--,***,2014
SouthernWellsJrSrHighSch,9058,18,20,2,***,***,***,***,29,23,17,***,***,4,36,39,--,***,--,***,2014
SouthmontSrHighSchool,6257,25,42,4,***,***,12,25,34,42,29,40,59,16,55,70,--,***,--,***,2014
SouthportHighSchool,5309,89,130,13,24,208,60,61,111,61,171,,168,92,140,156,26,14,29,7,2014
SouthridgeHighSchool,1588,28,29,3,***,***,***,***,53,43,17,36,44,18,42,52,--,***,***,--,2014
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
SouthwesternHighSchool,3337,33,26,4,4,59,***,***,44,37,26,30,48,15,48,61,***,--,--,***,2014
SouthwesternHighSchool,7701,***,13,***,***,***,***,18,***,15,13,14,20,7,21,28,--,--,--,--,2014
SouthwoodJrSrHighSchool,8655,26,34,4,***,***,***,***,33,37,27,33,51,16,48,62,--,***,--,***,2014
SpeedwaySeniorHighSchool,5891,32,33,4,0,69,27,21,21,28,41,39,54,26,43,49,9,6,***,***,2014
SpringsValleyCommHighSch,6589,20,17,7,***,***,--,***,***,35,9,22,35,10,34,40,***,***,--,***,2014
SullivanHighSchool,7957,33,42,5,***,***,***,***,57,61,19,35,57,36,44,76,--,***,--,***,2014
SwitzerlandCoSeniorHighSch,7993,***,27,***,1,37,***,***,27,23,15,14,22,16,22,38,***,***,--,***,2014
TCHarrisSchool,D451,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TROYCenter,D907,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TaylorHighSchool,2894,23,37,2,***,***,***,***,42,39,23,29,42,22,40,52,***,***,***,***,2014
TecumsehJrSrHighSch,8772,14,13,6,***,***,***,***,28,26,7,15,***,5,28,30,***,--,--,***,2014
TellCityJrSrHighSchool,6741,15,32,11,***,***,***,***,49,46,12,19,40,13,45,55,***,***,--,***,2014
TerreHauteNorthVigoHighSch,8441,137,138,19,11,283,36,38,220,232,62,,225,76,218,252,14,***,***,18,2014
TerreHauteSouthVigoHighSch,8457,108,104,25,8,229,61,32,144,156,81,,174,76,161,193,9,***,***,21,2014
TheAcadofSciEntrepreneurship,6202,***,15,***,--,29,--,--,29,***,***,***,19,6,23,20,***,***,***,***,2014
TheExcelCenterAnderson,4904,***,14,***,***,***,--,--,19,8,11,***,***,16,3,7,10,***,***,***,2014
TheExcelCenterKokomo,2976,--,3,--,--,3,--,--,3,***,***,***,***,***,***,***,--,--,--,***,2014
TheExcelCenterLafayette,8094,--,***,***,--,6,--,--,6,4,2,***,***,***,***,4,***,***,--,***,2014
TheExcelCenterLafayetteSq,5912,--,8,--,***,***,--,--,8,***,***,--,***,5,3,***,5,***,--,***,2014
TheExcelCenterRichmond,9012,--,4,--,--,4,--,--,4,***,***,***,***,***,***,1,***,***,--,***,2014
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TheKingsAcademy,B136,***,***,--,--,9,***,***,***,--,9,***,***,--,9,9,--,--,--,--,2014
TheaBowmanLeadershipAcademy,4022,24,44,--,--,68,--,***,***,31,37,17,37,56,12,--,***,--,--,***,2014
TheodoreRooseveltCareerTechnicalAcademy,4033,--,***,***,7,26,--,--,33,***,***,***,19,***,***,--,31,***,--,***,2014
ThomasAEdisonJrSrHighSchool,3965,9,36,--,***,***,***,***,27,22,23,16,34,26,19,24,***,17,***,***,2014
ThomasCarrHoweCommunityHighSchool,5639,***,***,--,***,***,--,--,21,***,***,***,***,***,***,8,11,***,--,***,2014
TippecanoeValleyHighSchool,3602,34,33,3,2,68,--,***,***,34,36,37,56,21,49,63,--,***,--,***,2014
TiptonHighSchool,8177,49,33,8,4,86,***,***,68,59,31,45,76,24,66,80,***,***,***,***,2014
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TradersPointChristianAcademy,C375,***,***,--,--,10,***,***,***,***,***,***,10,--,10,***,***,--,--,--,2014
TriCentralMiddleHighSchool,8155,15,27,2,***,***,12,9,23,14,30,28,36,10,34,39,***,***,--,***,2014
TriJuniorSeniorHighSchool,2773,26,22,3,***,***,***,***,39,38,13,30,40,18,33,51,--,--,--,--,2014
TriCountyMiddleSeniorHigh,9141,***,16,***,***,***,***,***,25,29,6,21,***,6,29,35,--,--,--,--,2014
TriWestSeniorHighSchool,2731,42,35,3,***,***,13,12,55,53,27,52,70,9,71,***,--,***,--,--,2014
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
TrinityLutheranHighSchool,B452,21,***,***,--,38,***,***,34,***,***,22,***,--,38,***,--,--,***,--,2014
TritonCentralHighSchool,7689,38,32,4,***,***,--,--,74,56,18,37,56,18,56,74,--,--,--,--,2014
TritonJrSrHighSchool,5923,19,20,5,***,***,***,***,36,29,15,17,36,11,33,***,--,***,--,--,2014
TurkeyRunJrSrHighSchool,6649,***,10,***,***,***,***,***,9,13,5,***,11,5,13,***,--,--,--,***,2014
TwinLakesSeniorHighSchool,9149,47,54,2,1,102,11,28,64,81,22,55,69,32,71,90,***,9,***,***,2014
UnionCityCommunityJrSrHS,7161,14,17,0,***,***,***,***,20,25,6,16,18,13,18,25,--,***,***,--,2014
UnionCountyHighSchool,8193,21,32,5,3,55,13,10,35,22,36,***,***,15,43,55,--,***,--,***,2014
UnionHighSchool,7909,***,8,***,--,18,--,***,***,11,7,***,***,***,***,18,--,--,--,--,2014
UnionJuniorHighSchool,7119,***,14,***,***,***,***,***,17,7,16,***,14,8,15,22,--,***,***,--,2014
UniversityHeightsPreparatoryAcademy,5864,***,***,--,--,4,--,--,4,--,4,***,4,***,***,***,***,***,--,--,2014
UniversityHighSchoolofIndiana,B241,35,***,***,***,***,38,13,10,***,***,48,***,--,61,47,***,***,***,***,2014
ValparaisoHighSchool,6881,223,145,8,2,374,76,57,243,202,174,,342,55,321,318,***,27,***,15,2014
VictoryChristianAcademy,D073,***,***,***,***,***,--,--,7,***,***,***,7,--,7,***,***,***,--,--,2014
WabashHighSchool,8693,18,28,9,2,53,***,***,41,40,15,26,37,34,21,50,--,***,***,***,2014
WaldoJWoodMemorialHighSchool,2233,11,10,7,***,***,--,***,***,***,***,***,***,***,***,27,***,***,--,--,2014
WaldronJrSrHighSchool,7665,***,18,***,***,***,***,***,15,3,26,16,***,4,25,***,--,--,--,***,2014
WapahaniHighSchool,1375,27,29,1,***,***,***,***,41,45,12,39,48,15,42,***,--,--,--,***,2014
WarrenCentralHighSchool,5361,105,265,50,25,395,69,56,295,213,207,,282,250,170,133,234,18,***,***,2014
WarsawCommunityHighSchool,3647,181,122,9,9,303,84,30,198,237,75,,263,80,232,257,8,40,***,***,2014
WashingtonCatholicMidHighSch,A660,***,***,--,--,13,***,***,9,***,***,10,13,***,***,13,--,--,--,--,2014
WashingtonHighSchool,7517,30,88,3,14,107,--,27,94,58,63,29,75,79,42,***,48,33,--,***,2014
WashingtonHighSchool,1125,45,44,19,2,106,***,***,80,75,33,43,84,39,69,94,***,8,--,***,2014
WashingtonTwpMiddleHighSchool,6849,***,23,***,***,***,***,***,30,32,7,25,***,6,33,32,--,***,***,***,2014
WawaseeHighSchool,3639,41,44,6,***,***,***,***,71,59,32,49,75,29,62,79,***,8,***,***,2014
WayneHighSchool,0177,48,77,11,15,121,***,***,87,73,63,40,89,105,31,52,52,22,***,***,2014
WesDelMiddleSeniorHighSchool,1372,***,22,***,***,***,***,***,31,22,18,32,32,7,33,***,--,--,--,***,2014
WestCentralSeniorHighSchool,7025,***,11,***,***,***,--,11,24,32,3,21,26,5,30,32,--,***,--,***,2014
WestLafayetteJrSrHighSch,8129,114,52,9,***,***,91,***,***,111,64,,***,14,161,120,***,10,33,***,2014
WestNobleHighSchool,6489,34,35,5,***,***,--,***,***,55,19,36,45,41,33,44,***,27,--,***,2014
WestSideLeadershipAcademy,4163,17,97,7,14,107,--,37,84,34,87,20,81,84,37,--,113,***,--,***,2014
WestVigoHighSchool,8453,35,41,7,***,***,***,***,60,66,17,29,55,34,49,***,--,--,--,***,2014
WestWashingtonJrSrHS,8869,17,19,4,***,***,***,***,21,30,10,22,21,17,23,***,--,***,--,--,2014
WesternBooneJrSrHighSchool,0539,***,51,***,***,***,28,24,54,83,23,60,91,26,80,100,--,***,--,***,2014
WesternHighSchool,2921,92,36,2,3,127,27,29,74,100,30,92,107,20,110,115,***,***,***,***,2014
WestfieldHighSchool,2493,218,142,9,***,***,170,52,147,210,159,,347,41,328,313,13,25,***,***,2014
WestviewJrSrHighSchool,3697,25,25,1,***,***,***,***,38,25,26,31,43,14,37,48,***,***,--,***,2014
WestvilleHighSchool,4701,18,24,4,***,***,--,10,36,28,18,21,***,9,37,44,***,***,--,--,2014
WheelerHighSchool,6841,38,41,5,***,***,***,***,60,55,29,54,77,10,74,75,--,7,***,***,2014
WhiteRiverValleyJrSrHighSchool,2429,15,15,8,***,***,--,--,38,18,20,17,27,8,30,,--,***,***,--,2014
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,2014
WhitesJrSrHighSchool,8673,***,4,***,***,***,***,--,***,***,***,***,***,***,***,,***,--,--,***,2014
WhitelandCommunityHighSchool,3421,121,135,8,8,256,74,53,137,131,133,,213,86,178,,***,***,18,***,2014
WhitingHighSchool,4353,***,38,***,***,***,***,***,42,51,11,34,39,30,32,32,--,27,***,***,2014
WhitkoHighSchool,9191,32,32,1,***,***,***,***,47,52,13,33,55,20,45,62,***,***,***,***,2014
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,***,46,***,***,***,--,16,34,12,38,***,27,30,20,--,48,***,--,***,2014
WilliamHenryHarrisonHighSch,8029,130,96,22,6,242,82,19,147,158,90,,229,29,219,210,6,11,11,10,2014
WilliamHenryHarrisonHighSchool,8311,48,54,36,11,127,14,17,107,78,60,76,106,60,78,89,31,6,***,***,2014
WilliamWBordenHighSchool,0813,***,13,***,***,***,***,***,23,32,3,15,***,4,31,32,***,***,--,***,2014
WinamacCommunityHighSchool,6997,***,19,***,***,***,***,***,24,31,12,25,28,12,31,39,--,***,***,***,2014
WinchesterCommunityHighSch,7125,30,22,3,***,***,***,***,42,48,7,28,32,23,32,50,***,***,***,***,2014
WoodlanJrSrHighSchool,0285,38,32,2,3,69,***,***,52,41,31,41,57,19,53,57,***,***,4,***,2014
YorktownHighSchool,1389,93,50,9,***,***,49,64,39,71,81,,130,23,129,145,--,***,***,***,2014
ZionsvilleCommunityHighSchool,0512,267,114,7,***,***,186,25,177,99,289,,377,15,373,350,***,12,***,13,2014
